Weather_Date,PRCP,SNOW,TAVG,TMAX,TMIN
2016-01-01,0.0,0.0,-4.8,-0.5,-7.1
2016-01-02,0.0,0.0,-2.8,0.0,-6.6
2016-01-03,0.0,0.0,-2.9,-1.6,-5.5
2016-01-04,0.0,0.0,-2.8,-0.5,-5.5
2016-01-05,0.0,0.0,-3.6,0.6,-8.2
2016-01-06,0.0,0.0,-2.1,2.2,-6.0
2016-01-07,0.3,0.0,2.2,5.0,1.1
2016-01-08,4.8,0.0,3.6,5.6,2.2
2016-01-09,6.9,43.0,2.8,4.4,-4.9
2016-01-10,0.0,0.0,-7.2,-4.9,-16.6
2016-01-11,2.8,79.0,-14.9,-4.3,-18.2
2016-01-12,0.3,3.0,-10.0,-6.6,-16.0
2016-01-13,0.0,3.0,-14.1,-3.8,-18.8
2016-01-14,0.0,0.0,-0.8,6.7,-4.3
2016-01-15,0.3,0.0,4.4,6.1,-1.0
2016-01-16,0.0,0.0,-2.0,-1.0,-12.7
2016-01-17,0.0,0.0,-13.6,-13.2,-18.2
2016-01-18,0.0,0.0,-17.4,-13.8,-19.9
2016-01-19,0.0,0.0,-14.6,-8.2,-17.7
2016-01-20,1.3,23.0,-8.5,-4.9,-11.0
2016-01-21,0.0,0.0,-7.2,-1.6,-12.7
2016-01-22,0.5,10.0,-4.6,-1.0,-7.1
2016-01-23,0.0,0.0,-2.3,0.6,-6.6
2016-01-24,0.0,0.0,-2.7,1.1,-4.3
2016-01-25,3.3,0.0,-0.8,5.0,-4.3
2016-01-26,0.5,0.0,0.4,2.2,-4.3
2016-01-27,0.0,0.0,-2.4,1.1,-4.9
2016-01-28,0.0,0.0,1.2,3.9,-1.6
2016-01-29,0.0,0.0,-2.1,1.7,-6.6
2016-01-30,0.0,0.0,3.1,7.8,1.7
2016-01-31,0.5,0.0,5.7,8.9,0.6
2016-02-01,0.0,0.0,2.2,7.2,-1.0
2016-02-02,20.1,0.0,1.4,3.3,0.0
2016-02-03,0.5,0.0,2.0,2.8,-2.1
2016-02-04,0.0,0.0,-2.9,0.0,-7.1
2016-02-05,0.0,0.0,-1.7,1.1,-3.8
2016-02-06,0.0,0.0,-0.8,5.0,-4.3
2016-02-07,0.0,0.0,3.1,6.1,0.0
2016-02-08,0.5,10.0,-0.6,0.0,-6.6
2016-02-09,0.5,15.0,-7.1,-6.0,-10.5
2016-02-10,0.0,0.0,-10.2,-7.7,-12.7
2016-02-11,0.0,0.0,-10.6,-6.0,-13.8
2016-02-12,0.0,0.0,-7.2,-4.9,-13.8
2016-02-13,0.0,0.0,-12.6,-8.2,-16.6
2016-02-14,2.5,58.0,-10.1,-7.7,-12.7
2016-02-15,0.3,3.0,-6.3,-2.7,-7.7
2016-02-16,1.0,10.0,-2.5,0.6,-4.3
